ZONE;ACRONYM;NAME;DATE;MEMBERS;ACTORS;TYPE;ROLE;THEME.I;THEME.II;THEME.III;HQ.Country;Description;HOMEPAGE;lon;lat
1;CoM;Covenant of Mayors ;2008;6115;Public;Public;1;Urban climate action;;;Belgium;Mainstream European movement involving local and regional authorities, voluntarily committing to increasing energy efficiency and use of renewable energy sources on their territories. By their commitment, Covenant signatories aim to meet and exceed the European Union 20% CO2 reduction objective by 2020.;http://www.covenantofmayors.eu/index_en.html;4.469936;50.503887
1;EUROCITIES;EUROCITIES;2008;99;Public;Public;1;Urban climate action;Energy Efficiency;;Belgium;"Network of major European cities; they offer members a platform for sharing knowledge and exchanging ideas. They influence and work with EU institutions to respond to common issues that affect the day-to-day lives of Europeans. Their goal is to reinforce the important role that local governments should play in a multilevel governance structure.";;4.469936;50.503887
1;GLOBE;GLOBE International;1989;27;Public;Public;3;Mitigation (general);;;Belgium;Legislators from the US Congress, European Parliament, Japanese Diet and the Russian State Duma founded it originally with the mission of responding to urgent environmental challenges through the development and advancement of legislation.;http://globelegislators.org/;4.469936;50.503887
1;EnergyCities;Energy Cities ;1990;180;Public;Public;3;Urban climate action;Energy Efficiency;;France;"European Association of local authorities in energy transition; its objectives are: to strengthen society’s role and skills in the field of sustainable energy, to represent people’s interests and influence the policies and proposals made by EU institutions in the field of energy, environmental protection and urban policy, and to develop and promote people’s initiatives through exchange of experiences, the transfer of know-how and the implementation of joint projects.";;2.213749;46.227638
1;IPEEC;International Partnership for Energy Efficiency Cooperation;2009;16;Public;Public;3;Energy Efficiency;Renewable Energy;;France;Autonomous international forum that provides global leadership on energy efficiency by facilitating government implementation of policies and programs to yield energy efficient gains. It is dedicated to facilitating rapid deployment of clean energy technologies worldwide and promoting information exchange on best practices to facilitate initiatives that improve energy efficiency. It has been identified as the lead coordinating organization to carry out the G20 Energy Efficiency Action Plan.;http://www.ipeec.org/;2.213749;46.227638
1;cCR;carbonn Climate Registry;2010;1;Public;Public;1;MRV;;;Germany;World’s leading reporting platform to enhance transparency, accountability and credibility of climate action of local and subnational governments. It is designated as the central repository of the Compact of Mayors launched at the Climate Summit 2014.;http://carbonn.org/;10.451526;51.165691
1;ICAP;International Carbon Action Partnership;2007;31;Public;Public;3;Carbon pricing and trading;;;Germany;International forum for governments and public authorities that have implemented or are planning to implement emissions trading systems. It facilitates cooperation and best practices-sharing between countries, sub-national jurisdictions and supranational institutions that have established or are actively pursuing carbon markets through mandatory cap and trade systems. ;https://icapcarbonaction.com/;10.451526;51.165691
1;ICLEI;ICLEI  - Local Governments for Sustainability;1990;1156;Public;Public;8;Urban climate action;;;Germany;World’s leading network of over 1,000 cities, towns and metropolises committed? to building? a sustainable future. By helping Members to make their cities and regions sustainable, low-carbon, resilient, ecomobile, biodiverse, resource-efficient and productive, healthy and happy, with a green economy and smart infrastructure, they impact over 20% of the world's urban population. ;http://www.iclei.org/;10.451526;51.165691
1;UNFCCC;United Nations Framework Convention on Climate Change ;1992;195;Public;Public;1;Mitigation (general);;;Germany;International environmental treaty with the objective of stabilizing greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system, provides a framework for negotiating aiming limits GHG emissions.;;10.451526;51.165691
1;WMCCC;World Mayors Council on Climate Change ;2005;81;Public;Public;3;Urban climate action;;;Germany;Voluntary initiative of mayors and local authority representatives that aims to advance climate actions. By signing the Pact, signatories commit to 10 action points, including the reduction of emissions, adaptation to the impacts of climate change and fostering city-to-city cooperation.;http://www.worldmayorscouncil.org/;10.451526;51.165691
